pmid,articlepubdate,articletype,pmidsrcs,meshheadings,meshsubheadings,meshcodes,cids,sids,articletitle,articleabstract,articlejourname,articleauth,articleaffil,citation,dois,annotation
30594983,20190101,article,mesh,"Cordyceps,Deoxyadenosines,Fruiting Bodies, Fungal,Mannitol,Metabolomics","analysis,chemistry,growth & development,metabolism","D003839 Q000032 NY,D003839 Q000378 NN,D008353 Q000032 NN,D008353 Q000378 NN,D032661 Q000254 NN,D032661 Q000378 NY,D032661 Q000737 NN,D048690 Q000254 NN,D048690 Q000378 NN,D048690 Q000737 NN","6251,6303",NULL,Metabolomic profiling reveals enrichment of cordycepin in senescence process of Cordyceps militaris fruit bodies,"Cordyceps militaris is a species of Cordyceps that is classified in the Cordycipitaceae family and is well known in East Asia as a traditional medicinal mushroom. Its artificial fruit body has been widely cultivated for commercial use in cosmetics, functional food, and medicine. To explore the metabolites associated with fruit body development, we conducted gas chromatography mass spectrometry (GC-MS) analyses based on developmental stage, which was divided into the growth period (stage 1, stage 2, and stag","Journal of microbiology (Seoul, Korea)","Junsang Oh, Deok-Hyo Yoon, Bhushan Shrestha, Hyung-Kyoon Choi, Gi-Ho Sung","Translational Research Division, Biomedical Institute of Mycological Resource, International St. Mary's Hospital and College of Medicine, Catholic Kwandong University, Incheon, 22711, Republic of Korea. College of Pharmacy, Chung-Ang University, Seoul, 06974, Republic of Korea. Mushtech Cordyceps Institute, Hoengseong, 25255, Republic of Korea. College of Pharmacy, Chung-Ang University, Seoul, 06974, Republic of Korea. hykychoi@cau.ac.kr. College of Pharmacy, Chung-Ang University, Seoul, 06974, Republic of ",2019 Jan; 57(1):54-63,10.1007/s12275-019-8486-z,NULL
31336431,20190828,article,mesh,"Antineoplastic Agents,Antioxidants,Biological Products,Cell Proliferation,Cordyceps,Deoxyadenosines,Drug Discovery,Drug Screening Assays, Antitumor,Fruiting Bodies, Fungal,Hep G2 Cells,Humans,Mannitol,Medicine, Chinese Traditional,Metabolomics,Proton Magnetic Resonance Spectroscopy,beta-Glucans","analysis,chemistry,drug effects,isolation & purification,methods,pharmacology","D000970 Q000302 NY,D000970 Q000494 NN,D000975 Q000494 NN,D001688 Q000494 NN,D003839 Q000032 NN,D004354 Q000379 NY,D008353 Q000032 NN,D032661 Q000737 NY,D047071 Q000032 NN,D048690 Q000737 NN,D049109 Q000187 NN,D055432 Q000379 NY,D056945 Q000187 NN,D066244 Q000379 NY","6251,6303",NULL,1H-NMR-Based Metabolic Profiling of Cordyceps militaris to Correlate the Development Process and Anti-Cancer Effect,"The study of metabolomics in natural products using the diverse analytical instruments including GC-MS, LC-MS, and NMR is useful for the exploration of physiological and biological effects and the investigation of drug discovery and health functional foods. Cordyceps militaris has been very attractive to natural medicine as a traditional Chinese medicine, due to its various bioactive properties including anti-cancer and anti-oxidant effects. In this study, we analyzed the metabolite profile in 50% ethanol e",Journal of microbiology and biotechnology,"Junsang Oh, Eunhyun Choi, Deok-Hyo Yoon, Tae-Yong Park, Bhushan Shrestha, Hyung-Kyoon Choi, Gi-Ho Sung","Translational Research Division, Biomedical Institute of Mycological Resource, International St. Mary's Hospital and College of Medicine, Catholic Kwandong University, Incheon 22000, Republic of Korea. College of Pharmacy, Chung-Ang University, Seoul 06974, Republic of Korea. Kainos Medicine, Inc., Seongnam 13488, Republic of Korea. Department of Oriental Medicine, International St. Mary's Hospital and College of Medicine, Catholic Kwandong University, Incheon 22000, Republic of Korea. Mushtech Cordyceps In",2019 Aug; 29(8):1212-1220,10.4014/jmb.1904.04004,NULL
25911534,20150801,article,mesh,"Cordyceps,DNA, Fungal,DNA, Ribosomal Spacer,Molecular Sequence Data,Peptide Elongation Factor 1,Phylogeny,Sequence Analysis, DNA,Spores, Fungal","classification,cytology,genetics","D004271 Q000235 NN,D013172 Q000166 NN,D020648 Q000235 NN,D021903 Q000235 NN,D032661 Q000145 NY,D032661 Q000166 NN",NULL,NULL,"Isaria takamizusanensis is the anamorph of Cordyceps ryogamimontana, warranting a new combination, Purpureocillium takamizusanense comb. nov","The entomogenous anamorphic fungus Isaria takamizusanensis has not been resolved clearly in its teleomorphic state. We succeeded in inducing ascostroma formation by incubating conidiomata of I. takamizusanensis on cicada adults in a moist chamber. We observed the ascostroma and conducted a phylogenetic analysis based on ITS rDNA and EF-1α genes. The morphology of the ascostroma was identical to that of Cordyceps ryogamimontana. In the phylogenetic tree inferred from EF-1α, the isolate from the partspores gr",International journal of systematic and evolutionary microbiology,"Sayaka Ban, Yuta Azuma, Hiroki Sato, Ken-Ichiro Suzuki, Akira Nakagiri","NITE Biological Resource Center (NBRC), National Institute of Technology and Evaluation (NITE), 2-5-8 Kazusakamatari, Kisarazu, Chiba, 292-0818, Japan. Japanese Society of Cordyceps Research, Kakinoki, Kakinoki-mura, Yoshika-cho, Kanoashi-gun, Shimane, 699-5301, Japan. Forestry and Forest Products Research Institute, 1 Matsunosato, Tsukuba, Ibaraki, 305-8687, Japan. Fungus/Mushroom Resource and Research Center, Faculty of Agriculture, Tottori University, 4-101, Koyama Minami, Tottori, 680-8553, Japan.",2015 Aug; 65(8):2459-2465,10.1099/ijs.0.000284,NULL
12585128,20010601,article,"xref,mesh","Adenosine,Animals,Cordyceps,Culture Techniques,Drugs, Chinese Herbal,Guanosine,Lepidoptera,Uridine","analysis,chemistry","D000241 Q000032 NY,D004365 Q000737 NN,D006151 Q000032 NY,D007915 Q000737 NY,D014529 Q000032 NY,D032661 Q000737 NY","6029,60961,135398635","127777609,128771931,128814610",[The contents and their change of nucleosides from natural Cordyceps sinensis and cultured cordyceps mycelia],"AIM: To compare the content of nucleosides from natural Cordyceps sinensis and cultured Cordyceps mycelia, and the effect of humidity and heat on the contents of nucleosides. METHODS: The contents of nucleosides were determined using high performance capillary electrophoresis (HPCE). Beckman P/ACE System 5010 apparatus equipped with a UV detector and a Beckman untreated fused-silica capillary (57 cm x 75 microns, 50 cm effective length) were used. Before sample injection, the capillary was rinsed with 1 mol",Yao xue xue bao = Acta pharmaceutica Sinica,"S P Li, P Li, H Ji, P Zhang, T T Dong, K W Tsim","First Affiliated Hospital of Anhui Medical University, Hefei 230022, China. shaopingli@ah163.com",2001 Jun; 36(6):436-9,NULL,NULL
25726649,20140801,article,mesh,"Cordyceps,Deoxyadenosines,Extracellular Space,Light,Monosaccharides,Mycelium,Polysaccharides",chemistry,"D003839 Q000737 NY,D005110 Q000737 NN,D009005 Q000737 NY,D011134 Q000737 NY,D032661 Q000737 NY",6303,NULL,[Study on monosaccharide composition of intracellular polysacchride and contents of cordycepin and cordyceps polysacchride produced by Cordyceps militaris induced by blue light],OBJECTIVE: To study effects of blue light irradiation on monosaccharide composition of intracellular polysacchride and contents of cordycepin and cordyceps polysacchride of mycelium and sporocarp in Cordyceps militaris. METHODS: The monosaccharide composition of intracellular polysacchride of mycelium and sporocarp in Cordyceps militaris as materials were determined by gas chromatography after 144 h blue light irradiation. The contents of cordycepin and cordyceps polysacchride of mycelium and sporocarp in C,Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials,"Ju-Feng Wang, Dao-De Yang, Hu-Ming Li, Wen-Jun Han",NULL,2014 Aug; 37(8):1395-9,NULL,NULL
31707352,20200101,article,mesh,"Administration, Topical,Cell Line,Cell Survival,Comet Assay,Cordyceps,DNA Damage,Dose-Response Relationship, Drug,Forecasting,Humans,Keratinocytes,Oxidative Stress,Radiation-Protective Agents,Reproducibility of Results,Ultraviolet Rays","adverse effects,drug effects,isolation & purification,metabolism,methods,pharmacology,physiology,radiation effects","D002470 Q000187 NN,D002470 Q000502 NN,D004249 Q000187 NN,D004249 Q000528 NN,D011837 Q000302 NN,D011837 Q000494 NY,D014466 Q000009 NY,D015603 Q000187 NY,D015603 Q000378 NN,D015603 Q000528 NY,D018384 Q000187 NN,D018384 Q000528 NN,D020552 Q000379 NN",NULL,NULL,Protective effects of Cordyceps extract against UVB‑induced damage and prediction of application prospects in the topical administration: An experimental validation and network pharmacology study,"ETHNOPHARMACOLOGICAL RELEVANCE: UVB is a high energy source that causes the major risk factor for sunburn and skin tumor. However, photochemical interactions lead to beneficial effects such as synthesis of vitamin D and corticosteroids. Therefore, a reasonable therapeutic regime is advocated to reduce UVB injuries but makes use of synthesizing sunlight metabolite. Many natural compounds improving plant cells resistant to oxidative stress by the harnessing of solar energy may be also used to protect human ce",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Hailun He, Jie Tang, Dai Ru, Xionghong Shu, Wenjia Li, Jing Li, Lianzheng Ma, Xuefeng Hu, Lidan Xiong, Li Li","Cosmetics Safety and Efficacy Evaluation Center, West China Hospital, Sichuan University, No. 5, Gong Xing Road, Chengdu, Sichuan, 610041, PR China; Sichuan Engineering Technology Research Center of Cosmetic, No. 5, Gong Xing Road, Chengdu, Sichuan, 610041, PR China; Department of Dermatology, West China Hospital, Sichuan University, No. 37, Guo Xue Xiang, Chengdu, Sichuan, 610041, PR China. Cosmetics Safety and Efficacy Evaluation Center, West China Hospital, Sichuan University, No. 5, Gong Xing Road, Chen",2020 Jan; 121(?):109600,10.1016/j.biopha.2019.109600,NULL
18358654,20080417,article,"xref,mesh","Adenosine,Bronchi,Cells, Cultured,Chlorides,Chromatography, High Pressure Liquid,Cordyceps,Cystic Fibrosis Transmembrane Conductance Regulator,Deoxyadenosines,Epithelial Cells,Humans,Ion Transport,Sodium-Potassium-Chloride Symporters","chemistry,drug effects,metabolism,pharmacology,physiology","D000241 Q000494 NY,D001980 Q000187 NY,D001980 Q000378 NN,D002712 Q000378 NN,D003839 Q000494 NY,D004847 Q000378 NN,D017136 Q000187 NN,D019005 Q000502 NN,D028021 Q000502 NN,D032661 Q000737 NY","312,1986,2471,6303,60961","127590206,128566414,128800334,128814610","Effects of Cordyceps sinensis, Cordyceps militaris and their isolated compounds on ion transport in Calu-3 human airway epithelial cells","AIM OF THE STUDY: The traditional Chinese medicine Cordyceps sinensis (CS) (Clavicipitaceae) improves pulmonary function and is used to treat respiratory disease. Here, we compare the efficacy and mechanisms of action of Cordyceps sinensis and Cordyceps militaris (CM) (Clavicipitaceae) in Calu-3 human airway epithelial monolayer model. MATERIAL AND METHODS: The extracts of Cordyceps sinensis and Cordyceps militaris, as well as their isolated compounds, cordycepin and adenosine, stimulated ion transport in a",Journal of ethnopharmacology,"Grace Gar-Lee Yue, Clara Bik-San Lau, Kwok-Pui Fung, Ping-Chung Leung, Wing-Hung Ko","Institute of Chinese Medicine, The Chinese University of Hong Kong, Shatin, New Territories, Hong Kong SAR, China.",2008 Apr; 117(1):92-101,10.1016/j.jep.2008.01.030,NULL
20939311,20100801,article,"xref,mesh","Adenosine,Calibration,Cordyceps,Fermentation,Least-Squares Analysis,Mutation,Polysaccharides,Proteins,Spectroscopy, Near-Infrared",NULL,NULL,60961,128814610,[Application of near infrared spectroscopy in screening Cordyceps militaris mutation strains and optimizing their fermentation process],"To fast screen high-yield Cordyceps militaris mutations strains and optimize their fermentation process, near infrared (NIR) spectroscopy technology combined with chemometrics has been applied to establishing models for simultaneous determination of adenosine, protein, polysaccharide and Cordyceps militaris acid contents in Cordyceps militaris powder samples. Fermentations were implemented in Erlenmeyer flask with 468 Cordyceps militaris mutations strains under various fermentation conditions and Cordyceps ",Guang pu xue yu guang pu fen xi = Guang pu,"Wei-liang Guo, Zhuo-yong Zhang, Jian-hui Lu, Jia Song, Wang Di, Li-rong Teng","Department of Chemistry, Capital Normal University, Beijing 100048, China.",2010 Aug; 30(8):2077-82,NULL,NULL
26141646,20150704,article,mesh,"Animals,Antineoplastic Agents,Apoptosis,Apoptosis Regulatory Proteins,Cell Cycle Checkpoints,Cell Line, Tumor,Cell Survival,Complex Mixtures,Cordyceps,Female,Humans,Mice, Inbred BALB C,Mitochondria,Neoplasms,Tumor Burden,Xenograft Model Antitumor Assays","drug effects,drug therapy,metabolism,pathology,pharmacology,therapeutic use","D000970 Q000494 NN,D000970 Q000627 NY,D002470 Q000187 NN,D008928 Q000187 NN,D009369 Q000188 NN,D009369 Q000473 NN,D017209 Q000187 NN,D045424 Q000494 NN,D045424 Q000627 NY,D047368 Q000187 NN,D051017 Q000378 NN,D059447 Q000187 NN",NULL,NULL,Anti-cancer effect of Cordyceps militaris in human colorectal carcinoma RKO cells via cell cycle arrest and mitochondrial apoptosis,"BACKGROUND: Cordyceps militaris has been used as a traditional medicine in Asian countries for a long time. Different types of Cordyceps extract were reported to have various pharmacological activities including an anti-cancer effect. We investigated the inhibitory effect of Cordyceps militaris ethanol extract on a human colorectal cancer-derived cell line, RKO. METHODS: RKO cells were treated with various concentrations of nucleosides-enriched ethanol extract of Cordyceps militaris for 48 h and cytotoxicit","Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences","Hwan Hee Lee, Seulki Lee, Kanghyo Lee, Yu Su Shin, Hyojeung Kang, Hyosun Cho","College of Pharmacy, Duksung Women's University, Seoul, 132-714, Republic of Korea. oeo3oeo@gmail.com. Innovative Drug Center, Duksung Women's University, Seoul, 132-714, Republic of Korea. oeo3oeo@gmail.com. College of Pharmacy, Duksung Women's University, Seoul, 132-714, Republic of Korea. seulki1987@duksung.ac.kr. Innovative Drug Center, Duksung Women's University, Seoul, 132-714, Republic of Korea. seulki1987@duksung.ac.kr. Mushroom Research Division, National Institute of Horticultural and Herbal Scien",2015 Jul; 23(?):35,10.1186/s40199-015-0117-6,NULL
26457607,20151012,review,mesh,"Adjuvants, Immunologic,Azathioprine,Cordyceps,Cyclosporine,Drugs, Chinese Herbal,Graft Rejection,Graft Survival,Humans,Immunosuppressive Agents,Kidney Transplantation,Medicine, Chinese Traditional,Randomized Controlled Trials as Topic","drug effects,mortality,prevention & control,therapeutic use","D000276 Q000627 NY,D001379 Q000627 NN,D004365 Q000627 NY,D006084 Q000517 NY,D006085 Q000187 NY,D007166 Q000627 NY,D016030 Q000401 YN,D016572 Q000627 NN","2265,2909,62280,5280754,5284373,5458585,5497195,6435893,9855081,11529527,24883466,25246316,49867938,71306795,71463825,73896891,122172945,123134263,123134270,129009974,132274082,138107778",NULL,Cordyceps sinensis (a traditional Chinese medicine) for kidney transplant recipients,"BACKGROUND: Kidney transplantation is the treatment of choice for patients with end-stage kidney disease (ESKD). Rising ESKD prevalence has substantially increased numbers of kidney transplants performed. Maintenance immunosuppression is long-term treatment to prevent acute rejection and deterioration of graft function. Although immunosuppressive treatment using drugs such as calcineurin inhibitors (CNIs, such as cyclosporin A (CsA) or tacrolimus) reduce acute rejection rates, long-term allograft survival r",The Cochrane database of systematic reviews,"Tao Hong, Minghua Zhang, Junming Fan","Department of Nephrology, Sixth People's Hospital of Chengdu, Chengdu, Sichuan, China, 610041.",2015 Oct; ?(10):CD009698,10.1002/14651858.cd009698.pub2,NULL
